Id,SalePrice
2658,159487.58967991685
2718,210384.93547443277
2414,198273.8190886667
1989,120950.4182898067
625,194935.4088818743
333,87014.6083272032
1327,110461.7834149662
858,146169.99319507787
95,205854.49432331533
1568,182314.80238797422
2482,169010.19387923018
1364,133714.56149236416
2584,173453.19079878856
818,282939.3581519078
2673,182492.78416494513
2089,135911.17741932394
1297,173869.01841632137
790,116524.00487496448
2616,213329.0880149107
720,199491.16612583888
222,142496.21034139046
557,121653.51461467962
1148,213912.83361863904
2766,163615.08243606403
534,211858.22678756132
1452,109841.86586390971
630,134833.01602500002
2648,124161.69998808671
125,143724.4077444456
1904,19680.625128872693
1670,104735.12518343213
756,91569.43760437239
717,267283.6393793968
1032,159305.8074164854
852,233392.30378396926
1731,184583.30182122532
2639,134944.33898495557
2071,77895.68981683487
1267,103066.15215142537
1851,210209.67698369082
567,160042.23794866167
2439,223749.424868854
1898,163142.82293913094
647,165025.23489279393
2256,228289.32722610072
979,111553.474670236
1444,224370.31856263243
2485,110071.41849151277
157,118486.30552316736
88,116979.41501140292
2003,99297.18260135525
186,207061.09492646856
1425,278216.31528218416
2695,125948.86522067105
738,91102.30948333279
395,157593.84898284264
1353,164035.269821133
1878,158796.95345196314
390,185978.94217232382
1456,241360.6809500635
1103,305007.2455883187
1387,114498.84697930585
2070,157805.51049852977
1199,188058.00666795555
2479,172260.8522868033
501,313893.92767462763
2362,74090.51128416974
1718,209425.228823605
2188,43592.295946086524
1483,159981.349515141
2557,67022.14719518647
437,305717.01905554975
2224,217359.29094272293
1628,182524.22964520683
397,125181.0645155923
587,214791.12433324754
971,168841.99067581235
2611,154083.4961480375
1887,82474.35441805213
2399,307465.44782275567
2148,226527.99125543726
304,131432.68960743537
1997,133353.23436957318
2817,103134.94005365157
1431,178619.3679151421
427,340589.1166127613
263,118104.01514724805
598,172772.59971108683
2895,251296.92052813503
687,172447.12268736586
1822,124481.11500270222
2191,104548.80815827986
179,139990.14286416396
1009,214331.43599691824
2010,108278.77327801962
1991,153606.18696735776
1411,160621.01788982912
1721,260456.08416875824
1144,188841.07399051823
593,220812.68265947164
575,264217.57835381455
1249,199408.85055033
1604,117779.25961405621
1064,397860.2111991353
1923,169387.79556334298
1988,89129.59359888756
2325,171599.1286676235
114,203027.07115449663
2700,214934.85916653066
217,151460.04217539378
343,189060.21293769917
386,252473.41451137
2005,113062.59644275997
2908,139768.06803175923
1814,224941.0336074396
2446,397914.41682938184
208,150883.06352502014
1679,116006.4824501311
822,307259.04860526137
6,190805.95732732932
1781,354177.83154067467
2397,270638.47687739064
2340,288226.72761991224
1618,163672.77498223213
2843,140813.06796916272
1061,327930.48562080064
2786,107807.59124944336
1935,123009.49092953047
1341,117630.61404656991
521,297303.7203629487
2136,128932.35738210217
996,201929.87371086585
227,155726.72319902712
135,168960.2995934931
1167,169288.68464221922
294,238773.10159430047
1776,215469.7027493997
540,201840.4338874151
1717,209425.228823605
2303,108172.09510904434
116,204300.0043240704
127,124319.48825430218
1371,133872.3670947638
1014,195178.59500945243
1507,91281.54081580439
702,147677.4205712583
750,155763.125714157
261,147936.58584496262
1559,47746.73139212234
577,235884.31009460846
2812,210847.14355071844
2080,154519.06881593587
1368,125791.41577942879
2376,117515.06065894454
659,96193.18819960766
1235,113957.14208868612
332,72076.17709110165
1917,136631.27391766454
2094,248265.54955635546
1460,284051.3719978088
1471,207143.22813113104
1509,116452.2548263087
1922,127790.85120037501
433,407397.78665623325
460,269470.90060746507
1116,268079.36786829703
1137,181303.32149227196
53,190672.8162418038
2354,251306.51189910807
1475,214081.64376046346
1761,464660.0627401944
842,142026.92281053518
2739,175771.6570996712
2509,172103.3500206729
1007,215008.32991463784
2610,188339.28059536032
1952,64591.75059903064
2719,209220.0163104916
2921,86590.58218825795
1966,131920.34295811132
292,121383.53529367899
1204,208744.7365906015
1829,255874.80429550936
2419,192673.52109905053
391,174254.71346840262
798,117476.99195585889
481,200623.45006481674
193,224663.29565359885
555,115860.93246952957
899,61982.22139365552
2357,197889.3831036738
328,123261.61120055383
1356,115480.70664776093
1154,100261.38164421706
1730,181847.54038998368
2249,151619.8467311426
1119,267086.9852039162
2856,131177.11753275292
1394,137431.57518129773
2587,122908.64889818034
61,316196.17797416775
2661,207624.2882486859
2711,127959.13387620705
1147,179404.12644937844
757,140416.91242355504
2623,73364.74696835643
2378,165776.24349826714
1413,142780.30871250806
1722,238821.94790787436
1112,220134.50463712798
1623,194998.19109374075
1201,189775.8671208499
1513,104014.64928876446
957,261541.35619937
1171,267565.3421469114
1145,199066.44204930472
2726,251583.16705038073
703,178867.6241406384
760,53821.79029866564
1964,128597.6083916584
2512,186271.75370806898
159,168274.0432350468
1281,182609.0652853183
468,180336.76096926373
290,122330.43011952867
665,99589.55518054962
1463,284408.2149104525
1792,227302.08381641586
923,133720.25534355268
500,273615.4677644195
1408,168139.27841751068
331,54577.7405947051
170,126038.61474972195
2192,81151.7832374128
2571,297886.2063560437
2314,172047.85264919908
2647,80393.99004354933
422,364076.7167625418
2457,337451.6037603242
1838,217101.68318213662
2805,264354.2981756313
1645,168569.0116251302
1711,286640.9422171251
2825,256475.95976840728
322,328349.507333593
2103,281244.7132907517
342,127705.9887771809
600,98482.83246767265
488,202841.5372899915
1725,304889.12727122684
2246,258315.55571121257
2847,183988.42613459565
806,253097.69973745802
530,241966.98806622112
963,197551.19360597734
2678,56691.57096406934
171,74006.38868080406
2401,358323.73224237957
805,225395.3565536195
2259,220795.2796421931
1748,186323.01373856724
1361,140888.55999822146
1677,135298.65326359938
1406,161317.1550685875
2322,229811.62116796407
688,174961.61708510504
143,134417.763034028
804,209364.61960844346
1214,169448.19095793017
2828,166543.92385182763
1999,214096.1494183247
2467,204135.9255525549
2665,174146.56330441474
1538,333265.36109781964
398,101328.5211483466
2822,134389.3052138514
2157,149388.67335689254
1856,179328.42185055953
